March 8 2025 - the kitchen of 700 Broderick,,,,,,,,,,,,,,,,,,,Saturday - the kitchen,,,,,,,,,,,,,,the kitchen,,,,,kitchen
,you call me back a day later at 12:08,,,,,,you call me back at 12:08,,,,,,,,,,,you call me back at noon,,,,,you call me,,,,,,,,_,,,,,,,
,,the near-spring sun slow cooking my pant legs,,,,,,,,the near-spring sun slow cooking my legs,,,,the sun cooking my legs,,the sun on my legs,,,,,,,,,,,,,the sun on me,,,,,,the sun,,,
,,,a warbling by my kitchen window,,,,,,a warbling by my window,,,,,,,,,,,,,,,,,,a warbling by the window,,,,,,,,,a warbling,,
,,,,two rock doves nitpicking / arguing / circling,,,,,,,some rock doves nitpicking - arguing - circling,,,,some rock doves arguing - circling,,some birds arguing - circling,,some birds circling,,some birds,,,,,,,,,,,,,,,,,
,,,,,the way you and grandma used to do,,,,,you and grandma used to,,you and grandma,,and grandma,,grandma,,,,,,,,,,,,,,,,,,,,,,
,,,,,,in the house on the hill with the earth brick floors,,,,,,in the house with the earth brick floors,,,,in the house with the brick floors,,,,the brick floors,,,,,,,,,,,,,,,,,,
,,,,,,,her in the chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,both visible through the TV passthrough,,,,,,,,visible through the TV passthrough,,,visible through the passthrough,,visible through the wall,,,,,,,,,,,,,,,,,
,,,,,,,,,(that's gone now),,,,,,(that's now),,,,(now),,_,,,,,,,,,,,,,,,,,
,,,,,,,,,,(so is the automatic chair I used to tilt on the brink of eternity with),,,,,,,,,,,,,,(so is the chair I used to tilt on the brink with),,,,,,,(the chair I used to tilt with),,,,,,,
,,,,,,,,,,,the chatter of the TV filling up into static,,,,the chatter of the TV filling up,,,,,,,,,,the static filling up,,,,,,,,,,,,the static,
,,,,,,,,,,,,quiet now,,,,,quiet,,,,,_,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,the redwoods only interspersed with faint cooing,,,,,,,,,,,,,,,,,,,the redwoods faintly cooing,,,,the redwoods,,
,,,,,,,,,,,,,,as you drag your robe over your knobbly spine,,,,,,,,,,as you drag your robe over your spine,,,,as you drag over your spine,,,,,,,you drag your spine,,,
,,,,,,,,,,,,,,,and slowly,,,,slowly,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,descend,,,,,,,,,,,,,,_,,,,,,,,
,,,,,,,,,,,,,,,,,the carpeted staircase,,,,,,,,,,,,,,the staircase,,_,,,,,
,,,,,,,,,,,,,,,,,,the phone is on the couch,the phone was on the couch,,,,the phone on the couch,,,,,,,,,the phone,,,,,,
,,,,,,,,,,,,,,,,,,,but must have moved somewhere,,,,,,,,,,,,,moved somewhere,,,,,,
,,,,,,,,,,,,,,,,,,,,there,here,,,,,,,,,,,_,,,,,,
,,,,,,,,,,,,,,,,,,,,,on the bathroom sink,,,,,,,on the sink,,,the sink,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,with the light blinking green,,,,,with the light blinking,,,_,blinking,_,blinking,_,blinking,_,blinking,
,,,,,,,,,,,,,,,,,,,,,,,you reach there,,,,,,,,,,you reach,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,in the dark,,,,,,in dark,,,_,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,to dial me,,dial me,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,well hey there noah,,,,,,hey noah,,,_,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,what are you up to in the city these days?,,,,,what are you up to?,,,,,what are you,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,you still live in that apartment with your roommates?,,,,you still live in that apartment,,,you still live,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right - right,,,,right,,,_,_,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a pause,,,,,,_,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,how are you and A doing?,,,,me and A,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,we broke up years ago grandpa,,,broke up years ago,,broke up,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and I tell you about this new woman from Texas,,,,this new woman,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re-folding my legs on the bench and squinting in the sun,,,,in the sun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oh great,that's great,_,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,how about you grandpa? what's new?,,grandpa?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oh - nothing much - you say,you say
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nothing much
